no	company_name	stage3_scope	management	immediate_owners	ownership_pct	ultimate_control	ownership_type	primary_dm	primary_dm_role	primary_dm_reason	curated_source_url	confidence	review_note
67	Venta Immobilien Service GmbH	MAIN	Mag Siegbert Schützenhöfer	Venta Consulting GmbH	100% sole shareholder	Mag Siegbert Schützenhöfer via Venta Consulting GmbH -> Venta Beteiligungs GmbH	INDIVIDUAL_FAMILY_CONTROL	Siegbert Schützenhöfer	Ultimate owner-controller / Geschäftsführer	He runs every layer and is sole shareholder of the ultimate Venta Beteiligungs GmbH	https://www.evi.gv.at/f/417852p | https://www.evi.gv.at/f/288937h | https://www.evi.gv.at/f/300232v	HIGH	Three-level ownership chain resolved
68	"Die Kärntner"-Wohnbau und Hausverwaltungsgesellschaft m.b.H.	MAIN	Mag Daniela Sampl-Lutz; Mag Fabian Eder	immo 360 grad gmbh	100% sole shareholder	ÖSW Konzern via immo 360 grad gmbh	CORPORATE_GROUP	Daniela Sampl-Lutz; Fabian Eder	Geschäftsführer	ÖSW-group ownership; current local GFs are operational decision layer	https://www.evi.gv.at/f/105496t | https://www.immo-360.at/unternehmen	HIGH	Current 2026 management; immo360 official site confirms ÖSW group
69	COLLIERS Immobilienverwaltung GmbH	MAIN	Philip Engel	Philip Engel; Colliers International Immobilienmakler GmbH; Ronald Leitner	Not publicly shown in free EVI	Colliers Austria plus individual partners	MIXED	Philip Engel	Geschäftsführer / Gesellschafter	Current GF is also a direct shareholder	https://www.colliers.com/de-at	MEDIUM_HIGH	Current public registry research
70	IG Immobilien Management GmbH	MAIN	Hubert Vögel; Paul Grassel	IG Immobilien Invest GmbH	100% sole shareholder	IG Immobilien group	CORPORATE_GROUP	Hubert Vögel; Paul Grassel	Geschäftsführer	Corporate parent; local management is operational outreach layer	https://www.ig-immobilien.com/	HIGH	Current public registry/corporate research
71	Leitgöb Hausverwaltung GmbH	MAIN	Günther Leitgöb; Isabella Nindl-Leitgöb	Leitgöb Beteiligung und Verwaltung GmbH	100% sole shareholder	Günther Leitgöb 99.25%; Isabella Nindl-Leitgöb 0.75% via parent	INDIVIDUAL_FAMILY_CONTROL	Günther Leitgöb	Controlling owner / Geschäftsführer	99.25% ultimate owner through sole parent and operating GF	https://www.evi.gv.at/f/519411s | https://www.firmenabc.at/leitgoeb-beteiligung-und-verwaltung-gmbh_KHLL	HIGH	Ultimate family-control percentages resolved
72	RES Immobilienverwaltung GmbH	MAIN	Dr Klaus Pfoser	Dr Klaus Pfoser	100%	Dr Klaus Pfoser	INDIVIDUAL_FAMILY_CONTROL	Klaus Pfoser	Owner / Geschäftsführer	100% owner-manager	https://www.res-immobilien.at/	HIGH	Public registry/business-data ownership resolved
73	Weinberger Biletti Immobilien Graz GmbH	MAIN	Susanne Weinberger	Susanne Weinberger; Udo Weinberger	Not publicly shown in free EVI	Weinberger family	INDIVIDUAL_FAMILY_CONTROL	Susanne Weinberger	Geschäftsführerin / Gesellschafterin	Current managing shareholder	https://www.weinberger-biletti.at/	HIGH	Current public registry research
74	"Hausverwaltung Franz Dangl" Gesellschaft m.b.H.	MAIN	Thomas Minten	Margarete Nemetschek; Thomas Minten	Not publicly shown in free EVI	Nemetschek/Minten private ownership	PARTNER_OWNED	Thomas Minten	Geschäftsführer / Gesellschafter	Operating GF is a shareholder	https://www.dangl.at/	MEDIUM_HIGH	Current public registry research
75	convival Immobilien GmbH	MAIN	Gregor Zimmel	Gregor Zimmel	100% sole shareholder	Gregor Zimmel	INDIVIDUAL_FAMILY_CONTROL	Gregor Zimmel	Owner / Geschäftsführer	Sole owner-manager	https://www.evi.gv.at/f/566253a	HIGH	Current public Firmenbuch
76	Immobilien Treuhand Hanke & Bodner KG	MAIN	Christina Elisabeth Bodner (unlimited managing partner)	Christina Elisabeth Bodner; Traugott Hanke; Astrid Hanke	KG structure; Traugott Hanke EUR 1,000; Astrid Hanke EUR 1,000 limited interests	Hanke/Bodner partner structure	PARTNER_OWNED	Christina Elisabeth Bodner	Managing general partner	Unlimited partner with management/representation authority	https://www.hanke-bodner.at/	MEDIUM_HIGH	KG ownership/management resolved in public registry research
77	LIM-MANAGEMENT GmbH	MAIN	MMag Dr Clemens Limberg	LIMBERG GmbH	100% sole shareholder	MMag Dr Clemens Limberg; Mag Miriam Limberg via LIMBERG GmbH	INDIVIDUAL_FAMILY_CONTROL	Clemens Limberg	Owner-family Geschäftsführer	Operating GF and ultimate family owner in parent company	https://www.evi.gv.at/f/334564g	HIGH	Parent owners Clemens and Miriam Limberg confirmed
78	Sabo+Mandl & Tomaschek Immobilien GmbH	MAIN	Ferenc Sabo; Evelyn Mandl	Ferenc Sabo; Evelyn Mandl	Not publicly shown in free EVI	Ferenc Sabo; Evelyn Mandl	PARTNER_OWNED	Ferenc Sabo; Evelyn Mandl	Geschäftsführer / Gesellschafter	Both current managers are owners	https://www.sabo-mandl.at/	HIGH	Current public registry research
79	WESIAK Gesellschaft m.b.H.	MAIN	Michael Spazierer; Matthias-Timur Jelinek	Michael Spazierer; Matthias-Timur Jelinek	Not publicly shown in free EVI	Michael Spazierer; Matthias-Timur Jelinek	PARTNER_OWNED	Michael Spazierer; Matthias-Timur Jelinek	Geschäftsführer / Gesellschafter	Both current managers are shareholders	https://www.wesiak.at/	HIGH	Current public registry research
80	CBRE GWS Austria GmbH	MAIN	Michael Erpelding; Felix Mathiowetz; David Corral	Relam Amsterdam Holdings B.V.	100% sole shareholder	CBRE Group, Inc.	CORPORATE_GROUP	Michael Erpelding; Felix Mathiowetz	Geschäftsführer	Global corporate ownership; Austrian management is actionable layer	https://www.cbre.at/	HIGH	Current public registry/corporate research
81	HÖS Heimat Österreich Service GesmbH	MAIN	Franz Berger; Dominique Gefahrt	Heimat Österreich gemeinnützige Wohnungs- und Siedlungsgesellschaft m.b.H.	100% sole shareholder	Caritas OÖ 16.65%; Caritas Wien 18.15%; Raiffeisenverband Salzburg 25%; Caritas Salzburg 25.20%; Diözese St. Pölten 15% via parent	CORPORATE_GROUP	Franz Berger; Dominique Gefahrt	Geschäftsführer	Fragmented institutional parent ownership; local GFs are first outreach	https://www.hoes.at/	HIGH	Ultimate institutional ownership percentages established in public company data
