no	company_name	stage3_scope	management	immediate_owners	ownership_pct	ultimate_control	ownership_type	primary_dm	primary_dm_role	primary_dm_reason	curated_source_url	confidence	review_note
1	Bundesimmobiliengesellschaft m.b.H.	MAIN	DI Gerald Beck; Mag Dr Christine Dornaus	Österreichische Beteiligungs AG (ÖBAG)	100% sole shareholder	Republic of Austria via ÖBAG	PUBLIC_STATE	Gerald Beck; Christine Dornaus	Geschäftsführer	State/corporate ownership; Austrian operational management is the actionable decision layer	https://www.evi.gv.at/f/34897w	HIGH	Current public Firmenbuch
2	GWS Bau- und Verwaltungsgesellschaft m.b.H.	MAIN	Mag (FH) Martina Haas; DI Thomas Purgstaller	GWS Gemeinnützige Alpenländische Gesellschaft für Wohnungsbau und Siedlungswesen m.b.H.	100% sole shareholder	GWS parent housing organisation	CORPORATE_GROUP	Martina Haas; Thomas Purgstaller	Geschäftsführer	Sole institutional parent; local managing directors are outreach targets	https://www.evi.gv.at/f/220100b	HIGH	Current since July 2026
3	Kaiserer Immobilien und Hausverwaltungs GmbH	MAIN	Alfred Thaler; Ing Stefan Kaiserer	Kaiserer Architektur und Sachverständigen GmbH	100%	Kaiserer family/group via parent company	CORPORATE_GROUP	Stefan Kaiserer; Alfred Thaler	Geschäftsführer	Current corporate management; parent is a 100% shareholder	https://www.firmenabc.at/kaiserer-immobilien-und-hausverwaltungs-gmbh_OWfh | https://www.unternehmensdaten.at/cz/unternehmen/484601z-kaiserer-immobilien-und-hausverwaltungs-gmbh	HIGH	Management change visible 28 Aug 2026; ownership 100% parent
4	PÜHRINGER Hausverwaltung & Immobilien GmbH & Co KG	MAIN	Doris Pühringer (GF of general partner); Anna Riedmann (Prokuristin)	PÜHRINGER Hausverwaltung & Immobilien GmbH (general partner); Doris Pühringer; Anna Riedmann	KG shares not expressed as percentages; general-partner GmbH solely owned by Doris Pühringer	Doris Pühringer	INDIVIDUAL_FAMILY_CONTROL	Doris Pühringer	Owner / Geschäftsführerin	Sole owner and GF of the managing general-partner GmbH plus direct KG participation	https://www.evi.gv.at/f/482387v | https://www.evi.gv.at/f/482097t	HIGH	Current public Firmenbuch
5	VIVIR Holding GmbH	MAIN	Stefan Salinger	Karmelitenkonvent	100% sole shareholder	Karmelitenkonvent	RELIGIOUS_INSTITUTION	Stefan Salinger	Geschäftsführer	Institutional owner; local GF is operational decision maker	https://www.evi.gv.at/f/240824d	HIGH	Current public Firmenbuch
6	BUWOG - Bauen und Wohnen Gesellschaft mbH	MAIN	Martin Puckl; Andreas Holler; Mag Kevin Töpfer	GENA ZWEI Immobilienholding GmbH; BUWOG Group GmbH	Percent split not shown in free EVI	Vonovia SE / BUWOG group	CORPORATE_GROUP	Martin Puckl; Andreas Holler	Geschäftsführer	Global corporate ownership; Austrian BUWOG management is first outreach layer	https://www.evi.gv.at/f/123812b | https://report.vonovia.com/2025/q4/de/anteilsbesitzliste	HIGH	Vonovia group report lists BUWOG entity at 100% group ownership
7	Hammerl Immobilien Management GmbH	MAIN	Birgitt Hammerl	Robert Hammerl; Birgitt Hammerl	Not publicly shown in free EVI	Hammerl family	INDIVIDUAL_FAMILY_CONTROL	Birgitt Hammerl	Geschäftsführerin / Gesellschafterin	Owner-manager and operational head	https://www.evi.gv.at/f/274410w	HIGH	Current public Firmenbuch
8	KALA Immobilienmanagement GmbH	MAIN	Karin Seyr; Manuela Steinkellner	Karin Seyr; Manuela Steinkellner	Not publicly shown in free EVI	Karin Seyr; Manuela Steinkellner	PARTNER_OWNED	Karin Seyr; Manuela Steinkellner	Geschäftsführerinnen / Gesellschafterinnen	Both managing directors are also shareholders	https://www.evi.gv.at/f/478163g	HIGH	Current public Firmenbuch
9	Raiffeisen Realitäten Betreuung Tirol GmbH	MAIN	Mag Philipp Thomasberger; DI(FH) Bernhard Matt; Stefan Ruggenthaler MA	Raiffeisen-Landesbank Tirol AG; Raiffeisen Investment Advisory GmbH	Not publicly shown in free EVI	Raiffeisen Tirol group	CORPORATE_GROUP	Philipp Thomasberger; Bernhard Matt; Stefan Ruggenthaler	Geschäftsführer	Corporate bank ownership; current operational management is outreach layer	https://www.evi.gv.at/f/36313b | https://rbt.at/de/kontakt/geschaeftsfuehrung.html	HIGH	Includes April/August 2026 management updates
10	WAG Wohnungsanlagen Gesellschaft m.b.H.	MAIN	Ing Mag (FH) Markus Hinterplattner; Mag Markus Kehrer; Ing MMag Dr Jürgen Harich	Beteiligungs- und Immobilien GmbH; Beteiligungs- und Wohnungsanlagen GmbH	Not publicly shown in free EVI	WAG ownership group backed by Raiffeisenlandesbank OÖ, Wiener Städtische, HYPO OÖ and OÖ Versicherung	CORPORATE_GROUP	Jürgen Harich; Markus Hinterplattner; Markus Kehrer	Geschäftsführer	Institutional ownership; current three-person executive team is operational decision layer	https://www.evi.gv.at/f/78487y | https://www.wag.at/die-wag/ueber-die-wag	HIGH	Official WAG site confirms management and ultimate owner institutions
11	AREALIS Liegenschaftsmanagement GmbH	MAIN	Michael Widschwendter MBA MRICS; Ivana Krenstetter	Senioren Residenz Fultererpark Errichtungs- und Verwaltungs GmbH	100% sole shareholder	Fultererpark corporate parent	CORPORATE_GROUP	Michael Widschwendter; Ivana Krenstetter	Geschäftsführer	Corporate owner; Austrian operational leadership preferred	https://www.evi.gv.at/f/270405f	HIGH	Current parent since February 2025
12	FLE GmbH	MAIN	Gilles Etrillard; Dr Alexander Klafsky LL.M.	La Financiere Patrimoniale d'Investissement SAS; GHEM Investments S.a.r.l.; Hector Kilcada GmbH; Pyrénées Partners Société civile	Not publicly shown in free EVI	Shareholder consortium	CORPORATE_GROUP	Gilles Etrillard; Alexander Klafsky	Geschäftsführer	Fragmented corporate ownership; local GFs are best supported first outreach	https://www.evi.gv.at/f/296776k	HIGH	Current public Firmenbuch
13	Immobilienverwaltung Mag. Alois Rosenberger GmbH	MAIN	Mag Alois Rosenberger	Alois Rosenberger	100%	Alois Rosenberger	INDIVIDUAL_FAMILY_CONTROL	Alois Rosenberger	Owner / Geschäftsführer	100% owner-manager	https://www.iv-ro.at/	MEDIUM_HIGH	Ownership percentage established in public business-registry research; official site corroborates operating identity
14	OM Objektmanagement GmbH	MAIN	Renate Tomaschek; Petra Antoni	Erste Group Bank AG	100% sole shareholder	Erste Group Bank AG	CORPORATE_GROUP	Renate Tomaschek; Petra Antoni	Geschäftsführerinnen	Bank-owned company; local GFs are operational decision makers	https://www.evi.gv.at/f/67715g	HIGH	Current public Firmenbuch
15	Stadt Wien - Wiener Wohnen Kundenservice GmbH	MAIN	Mag Angelika Flatz; Marcel Kremmer MSc PM	Stadt Wien	100% sole shareholder	City of Vienna	PUBLIC_STATE	Angelika Flatz; Marcel Kremmer	Geschäftsführer	Municipal ownership; local executive management is actionable layer	https://www.evi.gv.at/f/223828i	HIGH	Current public Firmenbuch
16	Wohnfit Hausverwaltungs GmbH	MAIN	Ing Sargon Gecer; Kresimir Azdajic; Markus Ringsmuth	Sargon Gecer; Kresimir Azdajic; teamneunzehn.at Hausverwaltung GmbH	Not publicly shown in free EVI	Owner-managers plus teamneunzehn group	MIXED	Sargon Gecer; Kresimir Azdajic	Gesellschafter / Geschäftsführer	Two individual shareholders also run the company	https://www.evi.gv.at/f/580626m	HIGH	Current public Firmenbuch
17	at home FM Services GmbH	MAIN	Alexander Hießböck; Thomas Julian Fischmann MA	at home Immobilien-GmbH	100% sole shareholder	at home group	CORPORATE_GROUP	Alexander Hießböck; Thomas Fischmann	Geschäftsführer	Corporate parent; local GFs are operational targets	https://www.evi.gv.at/f/500149p	HIGH	Current public Firmenbuch
18	GBG Gebäude- und Baumanagement Graz GmbH	MAIN	Mag Günter Hirner	Stadt Graz; Holding Graz – Kommunale Dienstleistungen GmbH	Stadt Graz 99.50%; Holding Graz 0.50%	City of Graz	PUBLIC_STATE	Günter Hirner	Geschäftsführer	Municipal ownership; GF runs the operating company	https://www.gbg.graz.at/	HIGH	Ownership percentages confirmed in public municipal/company sources
19	Ing. Werner Wilhelm Bayer	MAIN	Ing Werner Bayer	Ing Werner Wilhelm Bayer	Sole proprietor	Ing Werner Wilhelm Bayer	SOLE_PROPRIETOR	Werner Bayer	Inhaber	Named sole trader and disclosed business head	https://firmen.wko.at/ing-werner-wilhelm-bayer/burgenland/?firmaid=4205006d-0577-4ffd-8f93-1d689e906979	HIGH	WKO lists the individual and disclosure names him as business head
20	PMV Immobilien Management GmbH	MAIN	Florian Hörmann	PMV Holding GmbH	100% sole shareholder	PMV Holding / IMV-GIM group context	CORPORATE_GROUP	Florian Hörmann	Geschäftsführer	Corporate owner; current operating GF appointed 2026	https://www.evi.gv.at/f/332655z	HIGH	Same FN as historical EHL Immobilien Management; current PMV name
21	Supernova Invest GmbH	MAIN	Frank Philipp Albert; Markus Pinggera; Petra Michelatsch	Sunrise Holding GmbH	100% sole shareholder	Supernova / Sunrise group	CORPORATE_GROUP	Markus Pinggera; Petra Michelatsch	Geschäftsführer	Corporate holding owner; Austrian operational executives are outreach targets	https://www.evi.gv.at/f/423086k	HIGH	Current sole owner since July 2025
22	Zurich Immobilien Liegenschaftsverwaltungs-GesmbH	MAIN	Petra Fröstl; Ing Maximilian Knoblechner	Zürich Versicherungs-Aktiengesellschaft	100%	Zurich Insurance Group	CORPORATE_GROUP	Petra Fröstl; Maximilian Knoblechner	Geschäftsführer	Insurance-group ownership; local property-management GFs are relevant	https://www.zurich.at/	MEDIUM_HIGH	Current management/ownership established in public registry research
23	AI Immobilienverwertung GmbH.	MAIN	Eva Baumann; Michael Bujatti	APK Versicherung AG	100% sole shareholder	APK group	CORPORATE_GROUP	Eva Baumann; Michael Bujatti	Geschäftsführer	Corporate owner; local GFs are actionable decision layer	https://www.evi.gv.at/f/47499b	HIGH	Current public Firmenbuch
24	Dr. Martin Schober Immobilienverwaltung GmbH	MAIN	Dr Martin Schober	MASCH Verwaltungs GmbH	100% sole shareholder	MASCH Verwaltungs GmbH (Dr Schober is GF but only minority shareholder of parent)	CORPORATE_GROUP	Martin Schober	Geschäftsführer	Operational founder/GF; do not infer full ultimate ownership from surname	https://www.evi.gv.at/f/524478t	HIGH	Conservative ultimate-control treatment
25	Immobilien Verwaltung Klagenfurt GmbH	MAIN	Gerhard Scheucher MBA	Landeshauptstadt Klagenfurt am Wörthersee	100%	City of Klagenfurt	PUBLIC_STATE	Gerhard Scheucher	Geschäftsführer	100% municipal company; current GF is operating decision maker	https://www.klagenfurt.at/stadtverwaltung/budget-finanzen/staedtische-beteiligungen | https://firmen.wko.at/immobilien-verwaltung-klagenfurt-gmbh-immobilien-verwaltung-klagenfurt-gmbh/k%C3%A4rnten/?firmaid=d3e56be0-14f6-4218-bcc3-272c7810184e	HIGH	City page explicitly lists IVK at 100%
26	Ludwig Hallas, Immobilienverwaltung Gesellschaft m.b.H.	MAIN	Martin Fischer	Alexander Schlechta; Martin Fischer; Karl Fischer	Alexander Schlechta 62.5%; Martin Fischer 25%; Karl Fischer 12.5%	Alexander Schlechta	INDIVIDUAL_FAMILY_CONTROL	Alexander Schlechta; Martin Fischer	Majority owner; Geschäftsführer	Majority owner controls; Martin Fischer is operating GF	https://www.evi.gv.at/f/92132p	MEDIUM_HIGH	Percentages from public registry/business-data review; current shareholder names cross-checked in EVI
27	Salzburg Wohnbau GmbH	MAIN	Dr Georg Grundbichler; Thomas Maierhofer	BAUSPARERHEIM gemeinnützige Wohnungsgenossenschaft; Mag Walter Haas; Sandra Hasenauer; Ing Manfred Sampl	Current free EVI does not show percentages	Current shareholder group	MIXED	Georg Grundbichler; Thomas Maierhofer	Geschäftsführer	Fragmented ownership changed June 2026; current operating GFs are safest outreach	https://www.evi.gv.at/f/212888x	HIGH	Uses current June 2026 shareholder list; no stale percentages
