no,company,person,owners,central_phone,central_email,websites,wko_url
72,Hermes Logistik GmbH & Co KG,Philip Weiskopf,Hermes Zweite Beteiligungs-Verwaltungsgesellschaft mbH,+43 2236 677 90,info@hermes-logistik.at,,https://firmen.wko.at/hermes-logistik-gmbh-co-kg/nieder%c3%b6sterreich/?firmaid=241bc94e-a953-45ae-a1e5-70b59a2957bb&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
73,Hofmann & Neffe GmbH,Peter Hofmann,Hofmann Immobilien und Logistik GmbH,+43 732 341 341,office@hofmann-neffe.at,,https://firmen.wko.at/hofmann-neffe-gmbh/ober%c3%b6sterreich/?firmaid=9c6d397a-3c0a-4887-ad70-d931ebd12fef&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
74,Hoyer Austria Internationale Fachspedition Gesellschaft m.b.H.,Axel Remplewski,Hoyer GmbH Internationale Fachspedition,+43 1 769 03 00,vienna@hoyer-group.com,,https://firmen.wko.at/hoyer-austria-internationale-fachspedition-gesellschaft-mbh/wien/?firmaid=5a3d44e6-57cd-4994-a02b-9b3ed6472865&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
75,LAGRAN Lager- und Transport Ges.m.b.H.,Manfred Auer,LAGRAN Verwaltungs GmbH; Siegfried Schöffauer; Karin Schöffauer; Franz Feldgrill; others,+43 2236 677 10,office@lagran.at,,https://firmen.wko.at/lagran-lager-und-transport-gesmbh/nieder%c3%b6sterreich/?firmaid=438f3f5d-304d-4c5c-8f8f-b71a2eeffaf1&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
76,Müller Transporte Gesellschaft m.b.H.,Volker Auer,Lagermax Logistics Austria GmbH,+43 2236 677 20,office@muellertransporte.at,,https://firmen.wko.at/m%c3%bcller-transporte-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=e004b2d4-a8b1-4e1d-8ea0-cfcba29c80f7&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
78,L.T.W.-Transportgesellschaft mbH & Co KG,Elisabeth Leitner,Elisabeth Leitner; Wenzel Holding GmbH,+43 7242 350 0,office@ltw.at,,https://firmen.wko.at/ltw-transportgesellschaft-mbh-co-kg/ober%c3%b6sterreich/?firmaid=3be5dac4-e28d-4796-b36f-28ed05655499&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
80,MALCAMPO Transporte GmbH,Martin Cancola,Cancola Management Consulting GmbH; Martin Cancola direct,+43 7229 614 00,office@malcampo.at,,https://firmen.wko.at/malcampo-transporte-gmbh/ober%c3%b6sterreich/?firmaid=3054cc91-4db0-4b88-817b-00b2ef928cbb&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
81,Platzer & Co. Internationale Transporte Gesellschaft m.b.H.,Markus Rolf Platzer,Markus Rolf Platzer; Markus Platzer,+43 316 290 400,office@platzer-transporte.at,,https://firmen.wko.at/platzer-co-internationale-transporte-gesellschaft-mbh/steiermark/?firmaid=81b1a23e-02f3-45dd-a971-92974ca0bf09&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
85,Schneckenreither Internationale Spedition GmbH,Gerhard Gschwendtner,SAW-Holding GmbH; Gerhard Roithner,+43 7229 615 00,office@schneckenreither.com,,https://firmen.wko.at/schneckenreither-internationale-spedition-gmbh/ober%c3%b6sterreich/?firmaid=6c51d5f5-2de8-43c3-834b-7be334d1f30f&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
86,Spedition Böntner GmbH,Karl Böntner,BÖNTNER Holding GmbH,+43 7242 350 500,office@boentner.at,,https://firmen.wko.at/spedition-b%c3%b6ntner-gmbh/ober%c3%b6sterreich/?firmaid=6f8f4c14-453b-49ea-aa57-9179f97bc80d&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
