no,company,person,owners,central_phone,central_email,websites,wko_url
58,TRA Logistik GmbH,Rupert Trawöger,TRA Holding GmbH,+43 7229 221 00,office@tra-logistik.at,,https://firmen.wko.at/tra-logistik-gmbh/ober%c3%b6sterreich/?firmaid=a7625625-ed76-4ea3-a865-f16cfe1ab83a&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
61,Neuninger Logistik Service GmbH,Jürgen Neuninger,Jürgen Neuninger; Brigitte Neuninger,+43 7242 211 600,office@neuninger.at,,https://firmen.wko.at/neuninger-logistik-service-gmbh/ober%c3%b6sterreich/?firmaid=58d0db6a-31cb-4b55-ad72-49614fd45364&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
62,Condor - Speditions -,Transportgesellschaft m.b.H. + Co.,Mag. Andreas Gfrerer,Transportgesellschaft m.b.H. + Co.,+43 662 420 300,Andreas Gfrerer; Ursula Gfrerer; Marion Handlos,
63,Franz Exenberger GmbH,Alexander Poindl,Alexander Poindl,+43 5332 735 00,office@exenberger.at,,https://firmen.wko.at/franz-exenberger-gmbh/tirol/?firmaid=ef2b0ec9-ea35-45d0-8147-7f3ab47fac85&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
65,C.H. Robinson Austria GmbH,Roeland Steigerwald,C.H. Robinson group,+43 1 253 1000,vienna@chrobinson.com,,https://firmen.wko.at/ch-robinson-austria-gmbh/wien/?firmaid=f051f4a4-e7db-4ca3-9e62-86ff434d6408&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
66,CEVA Air & Ocean Austria GmbH,Peter Püringer,CEVA Air & Ocean Austria GmbH,+43 1 7007 0,info.at@cevalogistics.com,,https://firmen.wko.at/ceva-air-ocean-austria-gmbh/wien/?firmaid=6e1c0427-f714-4ec8-ab0b-4ed70790199f&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
67,Ceva Logistics Austria GmbH,Norbert Baumann,Normeston Group Cyprus Limited,+43 2236 677 70,info.at@cevalogistics.com,,https://firmen.wko.at/ceva-logistics-austria-gmbh/nieder%c3%b6sterreich/?firmaid=16a3b56f-8057-459b-a187-ec1309802e21&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
68,DHL Freight - DHL Logistics (Austria) GmbH,Michael Rolle,Deutsche Post Beteiligungen Holding GmbH,+43 1 7007 0,info.at@dhl.com,,https://firmen.wko.at/dhl-logistics-austria-gmbh/wien/?firmaid=7d37b15f-1314-4328-8be7-e4e82296602a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
69,Hadolt Transport und Logistik GmbH,Katharina Hadolt,Katharina Hadolt,+43 316 243 000,office@hadolt.at,,https://firmen.wko.at/hadolt-transport-und-logistik-gmbh/steiermark/?firmaid=297bd4bb-7d49-4fdc-aa3b-ff85467e2ec7&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
71,Hellmann Worldwide Logistics GmbH,Piotr Zaleski,Hellmann Worldwide Logistics Limited,+43 1 707 60 0,info@hellmann.com,,https://firmen.wko.at/hellmann-worldwide-logistics-gmbh/wien/?firmaid=55404adf-0124-460d-a9cd-4c9aebd2f005&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
