no,company,person,owners,central_phone,central_email,websites,wko_url
44,DSV Road Austria AG,Nico Puhl,DSV Road Holding A/S,+43 1 605 28 0,info@at.dsv.com,,https://firmen.wko.at/dsv-road-austria-ag/burgenland/?firmaid=71de767f-ed1d-4e02-9364-19bc7b7ab2ac&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=spediteur
45,Treu Speditionsgesellschaft m.b.H.,Alexander Müller,Alexander Müller,+43 1 616 44 44,office@treu-spedition.at,,https://firmen.wko.at/treu-speditionsgesellschaft-mbh/wien/?firmaid=1b53ba61-ef71-4ec5-8426-466ed97ac285&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
46,BGO Logistik & Spedition GmbH,Peter Morawetz,BGO Holding GmbH,+43 7229 600 0,office@bgo.at,,https://firmen.wko.at/bgo-logistik-spedition-gmbh/ober%c3%b6sterreich/?firmaid=9e31a888-e60a-49ff-a76f-c7d45dbeee87&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
47,Kapeller Internationale Spedition GmbH,Thomas Hafner,Schneider & Cie. AG; Thomas Hafner; Thomas Zangl,+43 512 346 800,office@kapeller.com,,https://firmen.wko.at/kapeller-internationale-spedition-gmbh/tirol/?firmaid=b07e5b48-490e-48db-a9d7-cfef05af9da7&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
48,DIZZBO GmbH,Peter Baumgartlinger,Current shareholders not established from free Austrian sources,+43 720 515 121,office@dizzbo.com,,https://firmen.wko.at/dizzbo-gmbh/ober%c3%b6sterreich/?firmaid=6c2e1052-cef7-4c6d-a103-4d7e5a079098&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
49,I.L.G. Innovative Logistics Group GmbH,Wolfgang Klepatsch,Wolfgang Klepatsch; Fr. Meyer’s Sohn KG; Rupert Schenz; PNP Immobilien GmbH,+43 662 420 420,office@ilg-logistics.com,,https://firmen.wko.at/ilg-innovative-logistics-group-gmbh/salzburg/?firmaid=cdb4ae6a-40a8-45bb-8b7d-b0f7520f3a32&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
51,Kerschner Transporte GmbH,Andreas Kerschner,Noerpel SE,+43 2754 6300,office@kerschner.at,,https://firmen.wko.at/kerschner-transporte-gmbh/nieder%c3%b6sterreich/?firmaid=402b87cf-0a25-4b20-b4cf-462af1344d6a&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
53,INNIGHT EXPRESS AUSTRIA GmbH,Barbara Dragosits,Innight Express Management GmbH,+43 2236 677 30,office@innight.at,,https://firmen.wko.at/innight-express-austria-gmbh/nieder%c3%b6sterreich/?firmaid=4094e2f6-c3da-4e12-b51d-d16c4beaa260&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
54,Paul Rudolf Gesellschaft m.b.H.,Paul Rudolf Bierbaumer,Rudolf Privatstiftung; Paul Rudolf; Katharina Haller,+43 316 671 200,office@rudolf.at,,https://firmen.wko.at/paul-rudolf-gesellschaft-mbh/steiermark/?firmaid=21d7bbfd-1c8a-4bc0-95d4-99d3d7593d42&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
56,Speditionsservice Ranshofen Gesellschaftm.b.H.,Adolf Winkelmeier,M.Preymesser Beteiligungs GmbH; AMAG service GmbH,+43 7722 811 0,office@ssr.at,,https://firmen.wko.at/speditionsservice-ranshofen-gesellschaftmbh/ober%c3%b6sterreich/?firmaid=2a861155-cc49-4f2f-98d6-ceeaedeba073&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
