no,company,person,owners,central_phone,central_email,websites,wko_url
28,Hödlmayr Logistics GmbH,Markus Formann,Hödlmayr International GmbH,+43 7243 500 0,info@hoedlmayr.com,,https://firmen.wko.at/h%c3%b6dlmayr-logistics-gmbh/ober%c3%b6sterreich/?firmaid=282d54ec-d4f0-45a0-82a6-6cb46f2a0a4d&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
29,Ontime Logistics Speditions GmbH,Sonja Schneckenreither,SAW-Beteiligungs GmbH,+43 7229 93080,office@ontime-logistics.com,,https://firmen.wko.at/ontime-logistics-speditions-gmbh/ober%c3%b6sterreich/?firmaid=fb12037c-f64f-4b75-96c9-080394a59666&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
30,Rudolph Logistik Österreich GmbH,Georg Weiß,ANCLA Logistik GmbH,+43 7229 841 40,office.austria@rudolph-log.com,,https://firmen.wko.at/rudolph-logistik-%c3%b6sterreich-gmbh/ober%c3%b6sterreich/?firmaid=7f0b8fc5-0540-4947-b702-47a1e4c5a3d0&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
31,Nagel Austria GmbH,Johannes Winterleitner,Nagel-Group Logistics SE,+43 2236 6030,info.at@nagel-group.com,,https://firmen.wko.at/nagel-austria-gmbh/nieder%c3%b6sterreich/?firmaid=7e192fcf-6f00-4a1c-b904-5ba979e1439a&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
32,NEUFRA Speditions Gesellschaft m.b.H.,Wolfgang Hast,NEUFRA Speditionsgesellschaft mbH (Germany),+43 2236 677 40,office@neufra.at,,https://firmen.wko.at/neufra-speditions-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=c0f4a07c-988d-452c-b3ac-2445f6596ef5&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
33,Petschl Werkstätten Betriebs GmbH,Wolfgang Aigner,Nikolaus Glisic; PETSCHL Österreich GmbH,+43 7225 884 0,office@petschl.at,,https://firmen.wko.at/petschl-werkst%c3%a4tten-betriebs-gmbh/ober%c3%b6sterreich/?firmaid=fc81c607-cf3c-43bf-bf79-a53fc439a8a6&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
35,Schachinger Logistik Holding GmbH,Günther Gfrerrer,Schachinger group / Maximilian Schachinger ultimate control,+43 7242 486 0,office@schachinger.com,,https://firmen.wko.at/schachinger-logistik-holding-gmbh/ober%c3%b6sterreich/?firmaid=395b74cf-1966-467f-b7b7-dda1f1f55346&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
37,Trans-o-flex ThermoMed Austria GmbH,Eugen Günther,trans-o-flex ThermoMed GmbH,+43 1 866 77 0,office@tof.at,,https://firmen.wko.at/trans-o-flex-thermomed-austria-gmbh/wien/?firmaid=e70204bc-0513-4747-9aad-081640d4cf22&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
40,Transporte Schneckenreiter GmbH,Dieter Schneckenreiter,UCS Beteiligungen GmbH,+43 7242 296 0,office@schneckenreiter.com,,https://firmen.wko.at/transporte-schneckenreiter-gmbh/ober%c3%b6sterreich/?firmaid=597082ab-1fd2-4a03-8ef7-a536bd9b1f49&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
42,Weiss Walter,Johann Luxbauer,Luxbauer Holding GmbH,+43 316 281 200,office@weiss-walter.at,,https://firmen.wko.at/weiss-walter/steiermark/?firmaid=439ad3bd-f4c4-4148-b321-2f2a02fe8879&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
