no,company,person,owners,central_phone,central_email,websites,wko_url
87,Spedition Engel Mayr GmbH,Valentin Peklar,VITAIRA AcquiCo 01 Austria GmbH,+43 7229 615 10,office@engelmayr.at,,https://firmen.wko.at/spedition-engel-mayr-gmbh/ober%c3%b6sterreich/?firmaid=f08647cb-4461-4970-9004-948181c53cfa&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
89,Spedition Lang GesmbH,Karin Lang,Karin Lang,+43 2236 677 85,office@spedition-lang.at,,https://firmen.wko.at/spedition-lang-gesmbh/nieder%c3%b6sterreich/?firmaid=72a5f9d1-34ad-4b6c-b559-cb3a209ff673&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
90,Spedition MURNIG Kommanditgesellschaft,Brigitte Elke Murnig,Brigitte Elke Murnig (Komplementärin); Dr. Florian Walther (Kommanditist),+43 463 540 00,office@murnig.at,,https://firmen.wko.at/spedition-murnig-kommanditgesellschaft/k%c3%a4rnten/?firmaid=7a577184-64c8-4bbb-9700-c4d4d44ff932&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
92,SUXESS LOGISTIC GmbH,Zsuzsanna Schenk,Zsuzsanna Schenk; HMG Holding GmbH,+43 2236 677 95,office@suxess-logistic.at,,https://firmen.wko.at/suxess-logistic-gmbh/nieder%c3%b6sterreich/?firmaid=1729194c-80e5-4712-bb78-d010d73915a9&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
93,UPS SCS (Austria) Logistic GmbH,Susanne Klingler-Werner,UPS Logistics Group International B.V.,+43 1 599 14 0,info@ups.com,,https://firmen.wko.at/ups-scs-austria-logistic-gmbh/nieder%c3%b6sterreich/?firmaid=2b88929d-0807-42d1-af6b-8a99010cfca3&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
94,VOGTRANS Speditions- und Verpackungsgesellschaft m.b.H.,Andreas Pirschl,VOG Einfuhr und Großhandel AG,+43 732 770 200,office@vogtrans.at,,https://firmen.wko.at/vogtrans-speditions-und-verpackungsgesellschaft-mbh/ober%c3%b6sterreich/?firmaid=b67934ad-b01d-4f6c-95e6-3ee5356c4ac9&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
97,Rhenus Logistics Austria GmbH,Patrick Schäffer,Rhenus Beteiligungs GmbH,+43 2236 677 00,info.at@rhenus.com,,https://firmen.wko.at/rhenus-logistics-austria-gmbh/nieder%c3%b6sterreich/?firmaid=8346cd46-4cff-41db-bb2e-af8303e76e69&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
98,Lagermax Lagerhaus und Speditions Aktiengesellschaft,Thomas Baumgartner,Baumgartner Privatstiftung; Urs Meister; Alexander Friesz; Michou Friesz; Anja Rabitsch; Ingrid Friesz-Meraner; others,+43 662 4090 0,office@lagermax.com,,https://firmen.wko.at/lagermax-lagerhaus-und-speditions-aktiengesellschaft/salzburg/?firmaid=b3849ccd-8cf0-4ee1-8ce5-152ae5cacbaf&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
99,Augustin Quehenberger Group GmbH,Robert Hartmann,AUGUSTIN QUEHENBERGER GROUP GMBH,+43 662 468 60,office@quehenberger.com,,https://firmen.wko.at/augustin-quehenberger-group-gmbh/salzburg/?firmaid=4bd31527-8a5e-4fed-9789-645fdf73c116&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
101,Quehenberger Air + Ocean GmbH,Rodolphe Schoettel,AUGUSTIN QUEHENBERGER GROUP GMBH,+43 662 468 60,office@quehenberger.com,,https://firmen.wko.at/quehenberger-air-ocean-gmbh/salzburg/?firmaid=33b45da4-137b-475d-9a99-59f5ac815b7a&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
