no,company,person,owners,central_phone,central_email,websites,wko_url
2,DP World Logistics Austria GmbH,Rolf Mertins,Imperial Mobility International B.V.,,,,https://firmen.wko.at/dp-world-logistics-austria-gmbh/ober%c3%b6sterreich/?firmaid=e8f23dbe-87db-43d2-bc22-15e4dae72d95&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
4,Lagermax Logistics Austria GmbH,Michael Macheiner,Lagermax Lagerhaus und Speditions AG,+43 (0) 4242 52040,office.villach@lagermax.com,http://www.lagermax.com/ | https://www.lagermax.com/de-at,https://firmen.wko.at/lagermax-logistics-austria-gmbh/k%c3%a4rnten/?firmaid=47a02886-30bf-42ca-b862-7fb4aec67826&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
6,DHL Express (Austria) GmbH,Kris David van Humbeeck,Deutsche Post Beteiligungen Holding GmbH,+43820550505,dhlat@dhl.com,https://mydhl.express.dhl/,https://firmen.wko.at/dhl-express-austria-gmbh-dhl-express-austria-gmbh-k%c3%a4rnten/k%c3%a4rnten/?firmaid=bfefb7af-200c-408f-9a70-c6ec6392ab0f&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
7,Expeditors Speditionsges.m.b.H.,Clemens Reimer,"Expeditors International of Washington, Inc.",(01) 701 89 111,office-austria@expeditors.com,http://www.expeditors.com/,https://firmen.wko.at/expeditors-speditionsgesmbh/nieder%c3%b6sterreich/?firmaid=4bf21f07-4c3c-48a9-a5ad-31246e64270f&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
8,G. Englmayer Spedition GmbH,Andreas Gaber,WIESINGER Privatstiftung,+43 5 777 30,office@englmayer.at,http://www.englmayer.at/,https://firmen.wko.at/genglmayer-spedition-gmbh/nieder%c3%b6sterreich/?firmaid=d2d861dc-6515-42ba-8efd-603bf370c58c&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
10,Kühne + Nagel Gesellschaft m.b.H.,Franz Braunsberger,Kühne + Nagel Eastern Europe AG; Kühne + Nagel Management AG,+43 (0) 5 906 828 - 0,info.austria@kuehne-nagel.com,http://www.kuehne-nagel.at/ | http://www.kuehne-nagel.com/,https://firmen.wko.at/k%c3%bchne-nagel-gesellschaft-mbh/k%c3%a4rnten/?firmaid=fa8a8110-7c4f-4422-a816-2fd2a3efd81b&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
11,Quick Service Logistics GmbH,Nina Meyer,Meyer Quick Service Logistics Verwaltungs GmbH,,,,https://firmen.wko.at/quick-service-logistics-gmbh/nieder%c3%b6sterreich/?firmaid=15b122aa-0f61-49c9-b1a1-24fe6d9daf7b&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
12,Raben Logistics Austria GmbH,Wojciech Mialik,Raben Group N.V.,+43 1 259 6200,info.at@raben-group.com,,https://firmen.wko.at/raben-logistics-austria-gmbh/burgenland/?firmaid=43e84c6a-f649-45be-be26-637503f40f83&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=spediteur
13,Sovereign Speed Austria GmbH,Leo Then,Sovereign Speed Germany GmbH,+43 2236 864 930,office.at@sovereignspeed.com,http://www.sovereignspeed.com/,https://firmen.wko.at/sovereign-speed-austria-gmbh/nieder%c3%b6sterreich/?firmaid=70a0eb56-24fa-41dd-9e75-bba94c39807f&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
14,Nothegger Transport Logistik GmbH,Karl Nothegger,Karl Nothegger; Nothegger Holding GmbH,+43 5353 600-0,office@nothegger.at,http://www.nothegger.at/,https://firmen.wko.at/nothegger-transport-logistik-gmbh/ober%c3%b6sterreich/?firmaid=dd94b639-ac8d-4a19-937a-635cd3640abc&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
