no,company,primary_dm,owners,websites,wko_url
41,VEGA International Car-Transport and Logistic-Trading Gesellschaft m.b.H.,Franz Blum; Wolfgang Werner; Peter Blum; Thomas Mackinger,Franz Blum; Wolfgang Werner,,https://firmen.wko.at/vega-international-car-transport-and-logistic-trading-gesellschaft-mbh/salzburg/?firmaid=d08eb180-263f-4173-8ab3-48cca53f2146&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
42,Weiss Walter,Johann Luxbauer,Luxbauer Holding GmbH,,https://firmen.wko.at/weiss-walter/steiermark/?firmaid=439ad3bd-f4c4-4148-b321-2f2a02fe8879&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
43,E. Rossik Transport & Logistics GmbH,Erwin Rossik; Mladenco-Vladimir Rossik,Mladenco-Vladimir Rossik; Rossik Holding GmbH; Lukas Dolezal,,https://firmen.wko.at/e-rossik-transport-und-logistics-gmbh-spedition-und-transport/nieder%c3%b6sterreich/?firmaid=59cf87fe-a1bb-4e85-a687-ed0bf5420ab0&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
44,DSV Road Austria AG,Nico Puhl,DSV Road Holding A/S,,https://firmen.wko.at/dsv-road-austria-ag/burgenland/?firmaid=71de767f-ed1d-4e02-9364-19bc7b7ab2ac&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=spediteur
45,Treu Speditionsgesellschaft m.b.H.,Alexander Müller,Alexander Müller,,https://firmen.wko.at/treu-speditionsgesellschaft-mbh/wien/?firmaid=1b53ba61-ef71-4ec5-8426-466ed97ac285&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
46,BGO Logistik & Spedition GmbH,Peter Morawetz; Mario Helfenschneider,BGO Holding GmbH,,https://firmen.wko.at/bgo-logistik-spedition-gmbh/ober%c3%b6sterreich/?firmaid=9e31a888-e60a-49ff-a76f-c7d45dbeee87&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
47,Kapeller Internationale Spedition GmbH,Thomas Hafner,Schneider & Cie. AG; Thomas Hafner; Thomas Zangl,,https://firmen.wko.at/kapeller-internationale-spedition-gmbh/tirol/?firmaid=b07e5b48-490e-48db-a9d7-cfef05af9da7&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
48,DIZZBO GmbH,Peter Baumgartlinger; Robert Köbrunner,Current shareholders not established from free Austrian sources,,https://firmen.wko.at/dizzbo-gmbh/ober%c3%b6sterreich/?firmaid=6c2e1052-cef7-4c6d-a103-4d7e5a079098&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
49,I.L.G. Innovative Logistics Group GmbH,Peter Neuhuber; Wolfgang Klepatsch,Wolfgang Klepatsch; Fr. Meyer’s Sohn KG; Rupert Schenz; PNP Immobilien GmbH,,https://firmen.wko.at/ilg-innovative-logistics-group-gmbh/salzburg/?firmaid=cdb4ae6a-40a8-45bb-8b7d-b0f7520f3a32&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
50,JERICH Austria GmbH,Herbert Friedrich Jerich,Jerich Privatstiftung; Herbert Jerich,,https://firmen.wko.at/jerich-austria-gmbh/steiermark/?firmaid=b7f15057-edca-46f6-adcb-e13dcd00b04a&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
