no,company,primary_dm,owners,websites,wko_url
101,Quehenberger Air + Ocean GmbH,Rodolphe Schoettel; Klaus Hrazdira; Christian Fürstaller,AUGUSTIN QUEHENBERGER GROUP GMBH,,https://firmen.wko.at/quehenberger-air-ocean-gmbh/salzburg/?firmaid=33b45da4-137b-475d-9a99-59f5ac815b7a&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
102,Quehenberger Logistics GmbH,Christian Fürstaller; Rodolphe Schoettel,AUGUSTIN QUEHENBERGER GROUP GMBH,,https://firmen.wko.at/quehenberger-logistics-gmbh/salzburg/?firmaid=5a305101-c492-4b36-bd6a-66ccccfe7b7b&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
103,Deufol Austria GmbH,Johannes Rieder; Jürgen Hillen; Ebrahem Al Kadari,Deufol Austria Management GmbH,,https://firmen.wko.at/deufol-austria-gmbh/nieder%c3%b6sterreich/?firmaid=ea903386-e913-4fbc-8106-1e6644f352ab&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
104,Hillebrand Gori Austria GmbH,Mehmet Kalkan; Søren Nymann,Hillebrand Gori Group GmbH,,https://firmen.wko.at/hillebrand-gori-austria-gmbh/wien/?firmaid=7694249b-927d-4928-b60c-56d2db58105c&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
105,Hödlmayr High & Heavy GmbH,Helmut Zwirner; Markus Formann; Michael Wöckinger; Martin Steinkellner,Hödlmayr International GmbH,,https://firmen.wko.at/h%c3%b6dlmayr-high-heavy-gmbh/ober%c3%b6sterreich/?firmaid=56fa2dc4-1478-4351-93aa-a2d99461510f&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
106,TEK TRANSPORT s.r.o.,Martin Anthony Bittner,European Cargo Services S.A.,,https://firmen.wko.at/tek-transport-sro/nieder%c3%b6sterreich/?firmaid=73987aaa-6025-4f03-883c-c689609130f0&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
107,REICHHART Logistik Austria GmbH,Alexander Reichhart,Avallonis Beteiligungs GmbH,,https://firmen.wko.at/reichhart-logistik-austria-gmbh/nieder%c3%b6sterreich/?firmaid=03057462-2f28-4a92-a4f8-ab65f5dedee4&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
108,Schachinger Logistik GmbH,Maximilian Schachinger; Ehrenfried Werderits; Günther Gfrerrer; Andreas Pesenhofer,1-0-1 GmbH; Schachinger Familienprivatstiftung; Maximilian Schachinger,,https://firmen.wko.at/schachinger-logistik-gmbh/ober%c3%b6sterreich/?firmaid=624eeb11-0402-4acb-b47a-6a9f46933da9&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
109,G. Englmayer Transport GmbH,Andreas Gaber,WIESINGER Privatstiftung,,https://firmen.wko.at/genglmayer-transport-gmbh/nieder%c3%b6sterreich/?firmaid=0aec2c1a-50c4-4b23-bb0a-c3ef41a70f80&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
110,Gebrüder Weiss Paketdienst Gesellschaft m.b.H.,Andreas Winkelmayer; Daniel Neumann; Peter Schafleitner,Gebrüder Weiss Gesellschaft m.b.H.; GW BeteiligungsGmbH,,https://firmen.wko.at/gebr%c3%bcder-weiss-paketdienst-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=0c50bef1-c9d8-4f1d-813d-3518517dd16a&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
