no,company,primary_dm,owners,websites,wko_url
11,Quick Service Logistics GmbH,Markus Bappert; Nina Meyer; Florian Entrich,Meyer Quick Service Logistics Verwaltungs GmbH,,https://firmen.wko.at/quick-service-logistics-gmbh/nieder%c3%b6sterreich/?firmaid=15b122aa-0f61-49c9-b1a1-24fe6d9daf7b&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
12,Raben Logistics Austria GmbH,Ewald Raben; Wojciech Mialik,Raben Group N.V.,,https://firmen.wko.at/raben-logistics-austria-gmbh/burgenland/?firmaid=43e84c6a-f649-45be-be26-637503f40f83&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=spediteur
13,Sovereign Speed Austria GmbH,Leo Then,Sovereign Speed Germany GmbH,http://www.sovereignspeed.com/,https://firmen.wko.at/sovereign-speed-austria-gmbh/nieder%c3%b6sterreich/?firmaid=70a0eb56-24fa-41dd-9e75-bba94c39807f&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
14,Nothegger Transport Logistik GmbH,Karl Nothegger,Karl Nothegger; Nothegger Holding GmbH,http://www.nothegger.at/,https://firmen.wko.at/nothegger-transport-logistik-gmbh/ober%c3%b6sterreich/?firmaid=dd94b639-ac8d-4a19-937a-635cd3640abc&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
15,All Fresh Logistics GmbH,Reinhold Diess,Reinhold Diess,,https://firmen.wko.at/all-fresh-logistics-gmbh/nieder%c3%b6sterreich/?firmaid=632acebd-08e2-42d8-b9e4-d4e7f24e42c9&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
16,Berger Logistik GmbH,Tobias Ibrahim; Matthias Synal,Berger Transport GmbH; Red Bull GmbH,,https://firmen.wko.at/berger-logistik-gmbh/tirol/?firmaid=55ce58a3-4f17-4b38-ab18-525848eb4df8&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
17,cargo-partner GmbH,Martin Schenzel,Cargo-Partner Holdings GmbH,http://www.cargo-partner.com/,https://firmen.wko.at/cargo-partner-gmbh/nieder%c3%b6sterreich/?firmaid=765618f5-08e1-4094-a4b5-c2e36f33f430&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
18,DACHSER-Austria Gesellschaft m.b.H.,Alfred Koblmüller; Michael Rauhofer,DACHSER SE,,https://firmen.wko.at/dachser-austria-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=46d7c424-40ed-4e24-83ed-46c1e4b27e41&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
19,DHL Global Forwarding (Austria) GmbH,Christoph Wahl; Thomas Ziegler,DHL Global Forwarding International Holdings B.V.,http://www.dhl-freight.at/ | http://www.dhl.at/ | http://www.logistics.dhl/at-de | https://www.dhl.com/at-de/home/fracht.html,https://firmen.wko.at/dhl-global-forwarding-austria-gmbh-internationale-spedition/k%c3%a4rnten/?firmaid=4c8d5cfa-9fea-4e8d-b931-ea66e15d4700&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
20,Dipl. Kfm. Günther König Transportgesellschaft m.b.H.,Katharina König,Ownership not resolved in free public sources,,https://firmen.wko.at/dipl-kfm-g%c3%bcnther-k%c3%b6nig-transportgesellschaft-mbh/burgenland/?firmaid=8b32f60f-660a-4890-b684-0276f72780a8&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=spediteur
