no,company,primary_dm,owners,websites,wko_url
31,Nagel Austria GmbH,Johannes Winterleitner; Markus Raffeiner,Nagel-Group Logistics SE,,https://firmen.wko.at/nagel-austria-gmbh/nieder%c3%b6sterreich/?firmaid=7e192fcf-6f00-4a1c-b904-5ba979e1439a&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
32,NEUFRA Speditions Gesellschaft m.b.H.,Wolfgang Hast; Sandra Hast; Peter Reindl,NEUFRA Speditionsgesellschaft mbH (Germany),,https://firmen.wko.at/neufra-speditions-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=c0f4a07c-988d-452c-b3ac-2445f6596ef5&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
33,Petschl Werkstätten Betriebs GmbH,Nikolaus Glisic; Wolfgang Aigner,Nikolaus Glisic; PETSCHL Österreich GmbH,,https://firmen.wko.at/petschl-werkst%c3%a4tten-betriebs-gmbh/ober%c3%b6sterreich/?firmaid=fc81c607-cf3c-43bf-bf79-a53fc439a8a6&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
34,SETG Salzburger Eisenbahn TransportLogistik GmbH,Gunther Pitterka,Gunther Pitterka,,https://firmen.wko.at/setg-salzburger-eisenbahn-transportlogistik-gmbh/salzburg/?firmaid=5e5278fe-9968-4bd5-9fb2-3f2dc38ea955&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
35,Schachinger Logistik Holding GmbH,Maximilian Schachinger; Günther Gfrerrer; Ehrenfried Werderits; Philipp Pracser,Schachinger group / Maximilian Schachinger ultimate control,,https://firmen.wko.at/schachinger-logistik-holding-gmbh/ober%c3%b6sterreich/?firmaid=395b74cf-1966-467f-b7b7-dda1f1f55346&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
36,TFG Transfracht Internationale Gesellschaft für kombinierten Güterverkehr mbH,Frank Erschkat; Thomas Hesse; Sören Kaminsky; Rebecca Leitner (Austria),DB Cargo AG,,https://firmen.wko.at/tfg-transfracht-internationale-gesellschaft-f%c3%bcr-kombinierten-g%c3%bcterverkehr-mbh/wien/?firmaid=20e6fb02-d249-448e-9868-1e909b268f70&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
37,Trans-o-flex ThermoMed Austria GmbH,Eugen Günther; Thomas Handlos; Michael Löckener,trans-o-flex ThermoMed GmbH,,https://firmen.wko.at/trans-o-flex-thermomed-austria-gmbh/wien/?firmaid=e70204bc-0513-4747-9aad-081640d4cf22&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
38,TRANSDANUBIA Speditionsgesellschaft m.b.H.,Andreas Scherbaum; Friedrich Simlinger; Günter Lehner,TRANSDANUBIA Holding GmbH,,https://firmen.wko.at/transdanubia-speditionsgesellschaft-mbh/ober%c3%b6sterreich/?firmaid=b05fbab4-b048-4da5-aa2d-5c3f97def401&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
39,Transped Europe GmbH,Thomas Schnaiter,Transped Holding GmbH; Markus Auer GmbH,,https://firmen.wko.at/transped-europe-gmbh/tirol/?firmaid=e09f2c3b-1647-4b5f-97fb-6104906775d3&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
40,Transporte Schneckenreiter GmbH,Dieter Schneckenreiter,UCS Beteiligungen GmbH,,https://firmen.wko.at/transporte-schneckenreiter-gmbh/ober%c3%b6sterreich/?firmaid=597082ab-1fd2-4a03-8ef7-a536bd9b1f49&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
