no,company,primary_dm,owners,websites,wko_url
81,Platzer & Co. Internationale Transporte Gesellschaft m.b.H.,Markus Rolf Platzer; Markus Platzer,Markus Rolf Platzer; Markus Platzer,,https://firmen.wko.at/platzer-co-internationale-transporte-gesellschaft-mbh/steiermark/?firmaid=81b1a23e-02f3-45dd-a971-92974ca0bf09&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
82,R & W Internationale Speditionsgesellschaft m.b.H.,Anton Wallinger; Gerald Roider; Roland Schmolz,Anton Wallinger; Gerald Roider; Roland Schmolz,,https://firmen.wko.at/r-w-internationale-speditionsgesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=6697188d-a1ff-498e-b9fc-9be712a125f0&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
83,R & W SPEDITION-LOGISTIC GMBH,Anton Wallinger; Gerald Roider; Roland Schmolz,Anton Wallinger; Gerald Roider; Roland Schmolz,,https://firmen.wko.at/r-und-w-spedition-logistic-gmbh/nieder%c3%b6sterreich/?firmaid=a679db19-3226-413c-ac87-95f5bc23a21e&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
84,ROLAND Internationale Spedition GmbH,Christian Gutjahr; Nikolaus Hirnschall,Hera Logistics Holding GmbH; NHCG Beteiligungs GmbH,,https://firmen.wko.at/roland-internationale-spedition-gmbh/ober%c3%b6sterreich/?firmaid=4249e922-7fc9-423c-8536-988724a9cb80&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
85,Schneckenreither Internationale Spedition GmbH,Sonja Schneckenreither; Gerhard Gschwendtner,SAW-Holding GmbH; Gerhard Roithner,,https://firmen.wko.at/schneckenreither-internationale-spedition-gmbh/ober%c3%b6sterreich/?firmaid=6c51d5f5-2de8-43c3-834b-7be334d1f30f&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
86,Spedition Böntner GmbH,Karl Böntner,BÖNTNER Holding GmbH,,https://firmen.wko.at/spedition-b%c3%b6ntner-gmbh/ober%c3%b6sterreich/?firmaid=6f8f4c14-453b-49ea-aa57-9179f97bc80d&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
87,Spedition Engel Mayr GmbH,Valentin Peklar; Peter Schneider,VITAIRA AcquiCo 01 Austria GmbH,,https://firmen.wko.at/spedition-engel-mayr-gmbh/ober%c3%b6sterreich/?firmaid=f08647cb-4461-4970-9004-948181c53cfa&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
88,Spedition Sobolak Internationale Transporte Ges.m.b.H.,Peter Sobolak; Jutta Sobolak,Peter Sobolak,,https://firmen.wko.at/spedition-sobolak-internationale-transporte-gesmbh/nieder%c3%b6sterreich/?firmaid=14db37c7-d8c9-41ec-92c3-4ed16cd178e8&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
89,Spedition Lang GesmbH,Karin Lang,Karin Lang,,https://firmen.wko.at/spedition-lang-gesmbh/nieder%c3%b6sterreich/?firmaid=72a5f9d1-34ad-4b6c-b559-cb3a209ff673&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
90,Spedition MURNIG Kommanditgesellschaft,Brigitte Elke Murnig,Brigitte Elke Murnig (Komplementärin); Dr. Florian Walther (Kommanditist),,https://firmen.wko.at/spedition-murnig-kommanditgesellschaft/k%c3%a4rnten/?firmaid=7a577184-64c8-4bbb-9700-c4d4d44ff932&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
