no,company,primary_dm,owners,websites,wko_url
21,FedEx Express Austria GmbH,Stefan Dries; Sven Kische; Charlotte Laureyssens,FedEx Express International B.V.,,https://firmen.wko.at/fedex-express-austria-gmbh/ober%c3%b6sterreich/?firmaid=e797d4b9-1134-4e4c-8fe0-e34117b0cbd2&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
22,Fercam Austria GmbH,Hannes Baumgartner; Christian Jarnig,FERCAM SB SRL,,https://firmen.wko.at/fercam-austria-gmbh/k%c3%a4rnten/?firmaid=1c58f4cc-15e0-46f1-83ea-e017b371bdea&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
23,Fluckinger Transport GmbH,Andreas Fluckinger,Fluckinger Holding GmbH,,https://firmen.wko.at/fluckinger-transport-gmbh/tirol/?firmaid=d0cb09b4-bf35-45ce-90c3-162dbcb30a9b&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
24,Friedrich Göbhart Gesellschaft m.b.H.,Lukas Herzog; Gerhard Prossinger,ZEPTA Vermögensverwaltungs GmbH,,https://firmen.wko.at/friedrich-g%c3%b6bhart-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=f173e086-15c4-4648-9262-2113ca3423e6&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
25,Fritz Mayer Internationale Spedition & Transport GmbH,Friedrich Mayer; Peter Mayer,Friedrich Mayer; Peter Mayer,,https://firmen.wko.at/fritz-mayer-internationale-spedition-und-transport-gmbh/steiermark/?firmaid=c846ef3a-9035-42f2-8e15-2bebe1ed0636&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
26,GLS Austria GmbH,Christian Schöninger; Moritz Eichhöfer,General Logistics Systems Germany GmbH & Co. OHG,,https://firmen.wko.at/gls-austria-gmbh/ober%c3%b6sterreich/?firmaid=3e2a8d84-f76f-4b2b-92b1-e8db66472129&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
27,Global Express Austria GmbH,Rolf Hadolt; Felix Hadolt; Stefanie Sachiko Hadolt-Reimers,Rolf Hadolt; Stefanie Sachiko Hadolt-Reimers; Felix Hadolt,,https://firmen.wko.at/global-express-austria-gmbh/steiermark/?firmaid=2e54e0f0-d4a2-4523-bbf8-78d9bfdadfb9&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
28,Hödlmayr Logistics GmbH,Helmut Zwirner; Markus Formann; Stefan Pargfrieder,Hödlmayr International GmbH,,https://firmen.wko.at/h%c3%b6dlmayr-logistics-gmbh/ober%c3%b6sterreich/?firmaid=282d54ec-d4f0-45a0-82a6-6cb46f2a0a4d&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
29,Ontime Logistics Speditions GmbH,Sonja Schneckenreither; Thomas Dobusch,SAW-Beteiligungs GmbH,,https://firmen.wko.at/ontime-logistics-speditions-gmbh/ober%c3%b6sterreich/?firmaid=fb12037c-f64f-4b75-96c9-080394a59666&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
30,Rudolph Logistik Österreich GmbH,Georg Weiß; Christoph Maas; Christoph Glatzl,ANCLA Logistik GmbH,,https://firmen.wko.at/rudolph-logistik-%c3%b6sterreich-gmbh/ober%c3%b6sterreich/?firmaid=7f0b8fc5-0540-4947-b702-47a1e4c5a3d0&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
