no,company,primary_dm,owners,websites,wko_url
91,STARK Internationale Transporte Gesellschaft m.b.H.,Christian Höllwarth,Intertrans Beteiligung GmbH,,https://firmen.wko.at/stark-internationale-transporte-gesellschaft-mbh/tirol/?firmaid=883d8d1d-a3de-4ac8-90bb-1c755d2858cb&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
92,SUXESS LOGISTIC GmbH,Zsuzsanna Schenk; Hüseyin Metin Öllinger,Zsuzsanna Schenk; HMG Holding GmbH,,https://firmen.wko.at/suxess-logistic-gmbh/nieder%c3%b6sterreich/?firmaid=1729194c-80e5-4712-bb78-d010d73915a9&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
93,UPS SCS (Austria) Logistic GmbH,Susanne Klingler-Werner,UPS Logistics Group International B.V.,,https://firmen.wko.at/ups-scs-austria-logistic-gmbh/nieder%c3%b6sterreich/?firmaid=2b88929d-0807-42d1-af6b-8a99010cfca3&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
94,VOGTRANS Speditions- und Verpackungsgesellschaft m.b.H.,Andreas Pirschl; Matthias Ritzberger,VOG Einfuhr und Großhandel AG,,https://firmen.wko.at/vogtrans-speditions-und-verpackungsgesellschaft-mbh/ober%c3%b6sterreich/?firmaid=b67934ad-b01d-4f6c-95e6-3ee5356c4ac9&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
95,Wolfsgruber Logistik GmbH,Franz Wolfsgruber; Johann Franz Wolfsgruber,Wolfsgruber Holding GmbH; ultimate private owners Franz/Johann/Johann Franz Wolfsgruber,,https://firmen.wko.at/wolfsgruber-logistik-gmbh/steiermark/?firmaid=24bbd239-2cff-4280-b55f-8c0d9e3d5ca1&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
96,Zugvogel Speditions GmbH,Matthias Fischer; Achim Obkircher,Zugvogel Holding GmbH,,https://firmen.wko.at/zugvogel-speditions-gmbh/tirol/?firmaid=7f832ad6-67e5-4d03-a897-fce9d65a692f&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
97,Rhenus Logistics Austria GmbH,Patrick Schäffer; Thomas Doblinger,Rhenus Beteiligungs GmbH,,https://firmen.wko.at/rhenus-logistics-austria-gmbh/nieder%c3%b6sterreich/?firmaid=8346cd46-4cff-41db-bb2e-af8303e76e69&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
98,Lagermax Lagerhaus und Speditions Aktiengesellschaft,Thomas Baumgartner; Alexander Friesz,Baumgartner Privatstiftung; Urs Meister; Alexander Friesz; Michou Friesz; Anja Rabitsch; Ingrid Friesz-Meraner; others,,https://firmen.wko.at/lagermax-lagerhaus-und-speditions-aktiengesellschaft/salzburg/?firmaid=b3849ccd-8cf0-4ee1-8ce5-152ae5cacbaf&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
99,Augustin Quehenberger Group GmbH,Klaus Hrazdira; Robert Hartmann; Christian Fürstaller,AUGUSTIN QUEHENBERGER GROUP GMBH,,https://firmen.wko.at/augustin-quehenberger-group-gmbh/salzburg/?firmaid=4bd31527-8a5e-4fed-9789-645fdf73c116&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
100,LOG-IN Logistik GmbH,Klaus Hrazdira,CF Logistics GmbH,,https://firmen.wko.at/log-in-logistik-gmbh/salzburg/?firmaid=36aaf61a-a283-48fa-ae2c-c61f983fbc3f&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
