no,company,primary_dm,owners,websites,wko_url
1,CMA-CGM (Deutschland) GmbH Shipping Agency,Mirja Nibbe,CMA CGM group,,https://firmen.wko.at/cma-cgm-deutschland-gmbh-shipping-agency/wien/?firmaid=e7e4d8a2-a650-44d6-a3bd-06c30f380f7c&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
2,DP World Logistics Austria GmbH,Rolf Mertins; Chris Povey,Imperial Mobility International B.V.,,https://firmen.wko.at/dp-world-logistics-austria-gmbh/ober%c3%b6sterreich/?firmaid=e8f23dbe-87db-43d2-bc22-15e4dae72d95&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
3,Logistik Service GmbH,Christian Janecek; Markus Schinko,voestalpine Stahl GmbH,http://www.logserv.at/,https://firmen.wko.at/logistik-service-gmbh/ober%c3%b6sterreich/?firmaid=24570320-3cc1-4f81-9f90-395433460427&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
4,Lagermax Logistics Austria GmbH,Michael Macheiner; Christian Stoll; Richard Pöschl,Lagermax Lagerhaus und Speditions AG,http://www.lagermax.com/ | https://www.lagermax.com/de-at,https://firmen.wko.at/lagermax-logistics-austria-gmbh/k%c3%a4rnten/?firmaid=47a02886-30bf-42ca-b862-7fb4aec67826&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
5,Gebrüder Weiss Gesellschaft m.b.H.,Wolfram Senger-Weiss; Peter Schafleitner; Jürgen Bauer; Alessandro Cacciola,Gebrüder Weiss Holding AG; GW Immobilien GmbH,http://gw-world.com/ | http://www.gebr-weiss.com/ | http://www.gw-world.com/ | https://www.gw-world.com/de/gwmoveson/,https://firmen.wko.at/gebr%c3%bcder-weiss-gesellschaft-mbh-gebr%c3%bcder-weiss-gesellschaft-mbh/k%c3%a4rnten/?firmaid=092f8431-4fe0-40c6-9027-81e7b0cc7f5c&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
6,DHL Express (Austria) GmbH,Roland Winischhofer; Kris David van Humbeeck,Deutsche Post Beteiligungen Holding GmbH,https://mydhl.express.dhl/,https://firmen.wko.at/dhl-express-austria-gmbh-dhl-express-austria-gmbh-k%c3%a4rnten/k%c3%a4rnten/?firmaid=bfefb7af-200c-408f-9a70-c6ec6392ab0f&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
7,Expeditors Speditionsges.m.b.H.,Clemens Reimer; Daniel Roy Wall,"Expeditors International of Washington, Inc.",http://www.expeditors.com/,https://firmen.wko.at/expeditors-speditionsgesmbh/nieder%c3%b6sterreich/?firmaid=4bf21f07-4c3c-48a9-a5ad-31246e64270f&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
8,G. Englmayer Spedition GmbH,Andreas Gaber; Roman Schimps; Robert Breitwieser; Alexander Pöttinger,WIESINGER Privatstiftung,http://www.englmayer.at/,https://firmen.wko.at/genglmayer-spedition-gmbh/nieder%c3%b6sterreich/?firmaid=d2d861dc-6515-42ba-8efd-603bf370c58c&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
9,Hödlmayr International GmbH,Johannes Alexander Hödlmayr; Robert Horvath; Andreas Sundl,Hödlmayr-Privatstiftung; family minority stakes,http://www.hoedlmayr.com/,https://firmen.wko.at/h%c3%b6dlmayr-international-gmbh/ober%c3%b6sterreich/?firmaid=29f6b838-d38a-42ff-9ca5-291080989c71&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
10,Kühne + Nagel Gesellschaft m.b.H.,Franz Braunsberger; Martin Hafner,Kühne + Nagel Eastern Europe AG; Kühne + Nagel Management AG,http://www.kuehne-nagel.at/ | http://www.kuehne-nagel.com/,https://firmen.wko.at/k%c3%bchne-nagel-gesellschaft-mbh/k%c3%a4rnten/?firmaid=fa8a8110-7c4f-4422-a816-2fd2a3efd81b&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
