no,company,primary_dm,owners,websites,wko_url
61,Neuninger Logistik Service GmbH,Jürgen Neuninger,Jürgen Neuninger; Brigitte Neuninger,,https://firmen.wko.at/neuninger-logistik-service-gmbh/ober%c3%b6sterreich/?firmaid=58d0db6a-31cb-4b55-ad72-49614fd45364&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
62,Condor - Speditions -, Transportgesellschaft m.b.H. + Co.,Mag. Andreas Gfrerer,Andreas Gfrerer; Ursula Gfrerer; Marion Handlos,
63,Franz Exenberger GmbH,Alexander Poindl,Alexander Poindl,,https://firmen.wko.at/franz-exenberger-gmbh/tirol/?firmaid=ef2b0ec9-ea35-45d0-8147-7f3ab47fac85&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
64,ACS Logistics GmbH & Co KG,Thomas Sticht; Gerald Kleeberger; Ulrich Hartwig,ACS Holding GmbH,,https://firmen.wko.at/acs-logistics-gmbh-co-kg/salzburg/?firmaid=d462cfbf-29f6-4cfe-9304-c3c4c5ef1497&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=spediteur
65,C.H. Robinson Austria GmbH,Roeland Steigerwald; Bastiaan Bleeker; Christopher Gerst,C.H. Robinson group,,https://firmen.wko.at/ch-robinson-austria-gmbh/wien/?firmaid=f051f4a4-e7db-4ca3-9e62-86ff434d6408&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
66,CEVA Air & Ocean Austria GmbH,Peter Püringer; Jörg Peter; Vincent Malhaire,CEVA Air & Ocean Austria GmbH,,https://firmen.wko.at/ceva-air-ocean-austria-gmbh/wien/?firmaid=6e1c0427-f714-4ec8-ab0b-4ed70790199f&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
67,Ceva Logistics Austria GmbH,Norbert Baumann; Roman Vašš,Normeston Group Cyprus Limited,,https://firmen.wko.at/ceva-logistics-austria-gmbh/nieder%c3%b6sterreich/?firmaid=16a3b56f-8057-459b-a187-ec1309802e21&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
68,DHL Freight - DHL Logistics (Austria) GmbH,Michael Rolle; Katrin Hölter,Deutsche Post Beteiligungen Holding GmbH,,https://firmen.wko.at/dhl-logistics-austria-gmbh/wien/?firmaid=7d37b15f-1314-4328-8be7-e4e82296602a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
69,Hadolt Transport und Logistik GmbH,Katharina Hadolt; Rolf Hadolt; Felix Hadolt,Katharina Hadolt,,https://firmen.wko.at/hadolt-transport-und-logistik-gmbh/steiermark/?firmaid=297bd4bb-7d49-4fdc-aa3b-ff85467e2ec7&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
70,Hapag-Lloyd (Austria) GmbH,Mark Biro; Marc-Simon Vick,Hapag-Lloyd AG,,https://firmen.wko.at/hapag-lloyd-austria-gmbh/wien/?firmaid=af00e61d-80fb-477f-9b39-165442fa0b3f&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
