no,company,primary_dm,owners,websites,wko_url
51,Kerschner Transporte GmbH,Andreas Kerschner,Noerpel SE,,https://firmen.wko.at/kerschner-transporte-gmbh/nieder%c3%b6sterreich/?firmaid=402b87cf-0a25-4b20-b4cf-462af1344d6a&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
52,Josef Poscharnegg GmbH,Sandra Poscharnegg; Sabine Poscharnegg; Ulrike Poscharnegg-Kriebernegg,"PH Holding GmbH; ultimate: Sandra, Sabine, Ulrike Poscharnegg-Kriebernegg",http://www.poscharnegg.at/,https://firmen.wko.at/josef-poscharnegg-gmbh/steiermark/?firmaid=1f10ce0f-48a9-4e53-a0e5-85a6045d75ad&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
53,INNIGHT EXPRESS AUSTRIA GmbH,Barbara Dragosits,Innight Express Management GmbH,,https://firmen.wko.at/innight-express-austria-gmbh/nieder%c3%b6sterreich/?firmaid=4094e2f6-c3da-4e12-b51d-d16c4beaa260&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
54,Paul Rudolf Gesellschaft m.b.H.,Paul Rudolf Bierbaumer; Katharina Haller,Rudolf Privatstiftung; Paul Rudolf; Katharina Haller,,https://firmen.wko.at/paul-rudolf-gesellschaft-mbh/steiermark/?firmaid=21d7bbfd-1c8a-4bc0-95d4-99d3d7593d42&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=spediteur
55,SWIETELSKY Baugesellschaft m.b.H.,Karl Kirchberger; Matthias Schauer,Swietelsky AG,,https://firmen.wko.at/swietelsky-baugesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=51f59e88-7897-4f68-b11c-0db010151f6d&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
56,Speditionsservice Ranshofen Gesellschaftm.b.H.,Adolf Winkelmeier; Rüdiger Pressler,M.Preymesser Beteiligungs GmbH; AMAG service GmbH,,https://firmen.wko.at/speditionsservice-ranshofen-gesellschaftmbh/ober%c3%b6sterreich/?firmaid=2a861155-cc49-4f2f-98d6-ceeaedeba073&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
57,Tirolia Spedition Ges.m.b.H.,Michael Lukasser,Tirolia Holding GmbH; Michael Lukasser direct,,https://firmen.wko.at/tirolia-spedition-gesmbh/tirol/?firmaid=1f76a3b1-86dc-4b1b-a51a-2ad09621b0ff&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
58,TRA Logistik GmbH,Rupert Trawöger; Artur Hovhannisyan,TRA Holding GmbH,,https://firmen.wko.at/tra-logistik-gmbh/ober%c3%b6sterreich/?firmaid=a7625625-ed76-4ea3-a865-f16cfe1ab83a&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
59,UNITCARGO Speditionsges.m.b.H.,Davor Sertic,Davor Sertic,,https://firmen.wko.at/unitcargo-speditionsgesmbh/wien/?firmaid=cf6f7ac6-0f26-4cc0-9bd2-54e9c1a8d4e3&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=spediteur
60,W. Riedel Silo-Transportgesellschaft m.b.H.,Christian Soos; Robert Mausser; Alexander Waldmüller,SR-Silotransport GmbH; Immo Immobilientreuhand; Manfred Adam,,https://firmen.wko.at/w-riedel-silo-transportgesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=2f8b823b-33a2-4e65-b063-a8d0243fb7c7&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
